station_name,type,lat,lng,operational_date
Renjong,LRT,1.386827,103.890541,2005-01-29
Cove,LRT,1.399534,103.905792,2005-01-29
Meridian,LRT,1.397002,103.908884,2005-01-29
Coral Edge,LRT,1.39392,103.912633,2005-01-29
Riviera,LRT,1.39454,103.916056,2005-01-29
Kadaloor,LRT,1.399633,103.916536,2005-01-29
Oasis,LRT,1.402304,103.912736,2007-06-15
Damai,LRT,1.405293,103.908606,2011-06-20
Sam Kee,LRT,1.409808,103.90492,2016-02-29
Teck Lee,LRT,1.412783,103.906565,2100-12-31
Punggol Point,LRT,1.416932,103.90668,2016-12-29
Samudera,LRT,1.415955,103.902185,2017-03-31
Nibong,LRT,1.411865,103.900321,2014-06-29
Sumang,LRT,1.408501,103.898605,2014-06-29
Soo Teck,LRT,1.405436,103.897287,2014-06-29
